 1 0 127 13 44 58 1
     3    0.478    0.114     -0.469  0.500    -0.13    -0.01    -0.08     0.25
    -2   -0.218    0.091      0.154  0.200    -0.13    -0.01    -0.08     0.25
     1   -0.148   -0.348     -0.353  0.300    -0.24    -0.16    -0.15     0.25
    -3    0.004    0.053     -0.088  0.500    -0.24    -0.16    -0.15     0.25
     1   -0.112    0.260      0.352  0.300    -0.23     0.09     0.18     0.25
    -1    0.021    0.069      0.032  0.300    -0.23     0.09     0.18     0.25
     1   -0.086    0.109     -0.731  0.300    -0.73     0.50    -0.24     0.25
    -2   -0.037    0.179     -0.452  0.200    -0.73     0.50    -0.24     0.25
     2   -0.092    0.251     -1.488  0.200    -0.75     0.42    -0.21     0.25
    -3   -0.356   -0.484     -0.482  0.500    -0.75     0.42    -0.21     0.25
     3   -0.270    0.075     -1.597  0.500    -0.69     0.45    -0.24     0.25
    -1    0.590    0.052     -2.606  0.300    -0.69     0.45    -0.24     0.25
     1   -0.089   -0.202     -8.215  0.300    -0.70     0.44    -0.25     0.25
     2    0.284   -0.092    -30.913  0.200    -0.70     0.44    -0.25     0.25
     2   -0.221   -0.120     -4.084  0.200    -0.70     0.44    -0.25     0.25
     1    0.346   -0.197    -18.284  0.300    -0.70     0.45    -0.25     0.25
    -1   -0.146    0.392    -25.406  0.300    -0.70     0.45    -0.25     0.25
     2    0.301    0.057      0.167  0.200    -0.45    -0.20     0.20     0.25
    -2   -0.356   -0.124      0.914  0.200    -0.45    -0.20     0.20     0.25
     2   -0.506   -0.364     -0.081  0.200    -0.56    -0.26     0.07     0.25
    -1    0.032    0.078      0.335  0.300    -0.56    -0.26     0.07     0.25
     1    0.419    0.267     -2.778  0.300    -0.40    -0.16    -0.25     0.25
    -2    0.166    0.023     -0.748  0.200    -0.40    -0.16    -0.25     0.25
     2   -0.139   -0.290      0.077  0.200    -0.46    -0.24    -0.13     0.25
    -1    0.087    0.085     -0.567  0.300    -0.46    -0.24    -0.13     0.25
     1    0.139    0.140     -1.230  0.300    -0.44    -0.19    -0.24     0.25
    -3   -0.081   -0.199     -1.102  0.500    -0.44    -0.19    -0.24     0.25
     1   -0.115   -0.195     -3.235  0.300    -0.44    -0.19    -0.24     0.25
    -2    0.172    0.150     -0.278  0.200    -0.44    -0.19    -0.24     0.25
    -3    0.323    0.226     -8.368  0.500    -0.44    -0.18    -0.25     0.25
    -2   -0.047   -0.307     -2.009  0.200    -0.44    -0.18    -0.25     0.25
    -1   -0.177    0.139     -5.193  0.300    -0.44    -0.18    -0.25     0.25
     3   -0.288    0.298    -29.203  0.500    -0.44    -0.18    -0.25     0.25
     2    0.060    0.150     -1.453  0.200    -0.44    -0.18    -0.25     0.25
     1    0.135   -0.178    -16.432  0.300    -0.44    -0.18    -0.25     0.25
     3    0.105    0.201     -2.796  0.500    -0.46    -0.18    -0.25     0.25
     2   -0.485   -0.358     -4.656  0.200    -0.46    -0.18    -0.25     0.25
     1   -0.172    0.352     -2.020  0.300    -0.46    -0.18    -0.25     0.25
     2    0.058   -0.087     -0.534  0.200    -0.45    -0.21    -0.25     0.25
    -1   -0.068   -0.041     -0.665  0.300    -0.45    -0.21    -0.25     0.25
     1   -0.039   -0.412     21.436  0.300     0.18    -0.20     0.25     0.25
